ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
BF963FE284400C1F72AE51023C5EF588,,2019-09-27 00:35:50,transfer,,BTC Markets 3;btc_markets,9B6C03DB97F85336FEC84CE59511FE3E,0.06430718,BTC;1,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.06430718,BTC;1,0.0003,BTC;1,517.54,USD;10,,,767.1236510264,3.5787153986,AUD;15,false,api,csv,false,false,,,,,0eefcfdc80c2dd03bba2ecf764e48f3e78bc206a00e1f3a9826e530b2a13e37c,BTC withdraw from [anthonybarryptyltd@gmail.com] to Address: bc1qrnh9u5auaj7346s7rx925c89xlhyu7r4s27smv amount: 0.06460718 fee: 0
C31682AB58F958DB9E60D5B850332124,,2019-09-21 06:31:25,transfer,,BTC Markets 3;btc_markets,9B6C03DB97F85336FEC84CE59511FE3E,0.41123537,BTC;1,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.41123537,BTC;1,0.0003,BTC;1,4122.6,USD;10,,,6090.5283745602,4.4430966927,AUD;15,false,api,csv,true,false,,,,,807a8761edd3474c5ad235384912b48d61ce0081aa680046aa37b48dd6f28e65,BTC withdraw from [anthonybarryptyltd@gmail.com] to Address: bc1qruu885h6qm5ej7kctk0472e8tr4cnsg98h6nhn amount: 0.41153537 fee: 0
EDB4F785A194BE71F80DFB0C99736708,,2019-09-21 02:49:42,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.30452611,ETH;3,,,0.0,,0.0,,66.05,USD;10,0.0,,97.5790518459,0.0,AUD;15,false,csv,,false,false,,,,,5c26d81d26684cf5063ad34be3ea529afd2c61b859fe71e0e40f9a103f7e678f,
14339BE8743F27EFA8CCA5205D189D77,,2019-09-21 02:12:02,transfer,,BTC Markets 3;btc_markets,9B6C03DB97F85336FEC84CE59511FE3E,0.30452611,ETH;3,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.30452611,ETH;3,0.001,ETH;3,66.05,USD;10,,,97.5790518459,0.3204291804,AUD;15,false,api,csv,false,false,,,,,6012d1a47e47af09d22f4d326596c8a4ff18be10dcae8afd591ca37b8ef153f7,ETH withdraw from [anthonybarryptyltd@gmail.com] to Address: 0x41b7DACce6f6f7C3c46562744e04cC8C2dac0702 amount: 0.30552611 fee: 0
92E9627A9022C27C43BA8EA7E744F9AD,,2021-03-15 07:13:43,withdrawal,cost,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.00293215,ETH;3,,,0.0,,0.0,,5.28,USD;10,0.0,,6.799822033,0.0,AUD;15,false,csv,,false,false,,,,,b96c8ac823b6c30b0fbde9261cf51b9f011a0ff94a8c29ca550c657def0ad232,
D24771DC2319F8855CCEC44CCC40F414,,2021-03-15 07:11:02,withdrawal,cost,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.0145,ETH;3,,,0.0,,0.0,,0.0,,0.0,,33.7340856016,0.0,AUD;15,false,csv,,false,false,,,,,447294b5da2721ccb3eb4dff6e33b20a9544e034c066921bcb8ae3eeaddf9e9d,
948FE8941A4DD28565024281DB15BB74,,2021-03-15 07:09:13,withdrawal,cost,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.005815445,ETH;3,,,0.0,,0.0,,10.47,USD;10,0.0,,13.4837380085,0.0,AUD;15,false,csv,,false,false,,,,,14be7a1139ed12e93a2be5d223d2a2e3d66d98743ea7aaf506ebc1fec7e884d0,
69097CB5E29CD390D06D0597F2B2F43B,,2021-03-15 07:07:00,withdrawal,cost,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.00682747,ETH;3,,,0.0,,0.0,,12.29,USD;10,0.0,,15.8276160578,0.0,AUD;15,false,csv,,false,false,,,,,f8d752400ef218a669a710bbb0626ca802242b6c3acd3d7d9400122a724f6973,
9274244A5F86DC406A93DFC92DD63EDB,,2019-09-22 03:51:20,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.012268904,ETH;3,0.0,,2.57,USD;10,0.0,,3.7967927819,0.0,AUD;15,false,,csv,false,false,,,,,3a21397af7d9169f7113c853c26b46114d07166e6380ed7635610febcf8e7fdf,
A85FC1E82844F86DBF62A57DF5A826E5,,2019-09-21 02:49:42,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.30446311,ETH;3,0.0,,66.04,USD;10,0.0,,97.5642783331,0.0,AUD;15,false,,csv,false,false,,,,,5c26d81d26684cf5063ad34be3ea529afd2c61b859fe71e0e40f9a103f7e678f,
5E030306CC702EE314F438382C54581E,,2021-03-15 07:13:43,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,39347.2706065098,XDC;2379,,,0.0,,0.0,,1434.32,USD;10,0.0,,1847.1819580142,0.0,AUD;15,false,csv,,false,false,,,,,b96c8ac823b6c30b0fbde9261cf51b9f011a0ff94a8c29ca550c657def0ad232,"Cannot recall the reason for this transfer.
https://etherscan.io/tx/0xb96c8ac823b6c30b0fbde9261cf51b9f011a0ff94a8c29ca550c657def0ad232"
7CC8CFDE59C8D095159A116740520E24,,2021-03-15 07:09:13,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,1000.0,XDC;2379,,,0.0,,0.0,,36.45,USD;10,0.0,,46.9419532389,0.0,AUD;15,false,csv,,false,false,,,,,14be7a1139ed12e93a2be5d223d2a2e3d66d98743ea7aaf506ebc1fec7e884d0,
50410BC8601CEE29CD2AE63E6D72555B,,2021-03-15 07:07:00,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,1000.0,XDC;2379,,,0.0,,0.0,,36.45,USD;10,0.0,,46.9419532389,0.0,AUD;15,false,csv,,false,false,,,,,f8d752400ef218a669a710bbb0626ca802242b6c3acd3d7d9400122a724f6973,
57B1DB74D953066F433151D03F47374E,,2019-09-21 02:42:27,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,36347.2706065098,XDC;2379,0.0,,312.09,USD;10,0.0,,461.0665600389,0.0,AUD;15,false,,csv,false,false,,,,,224f779db2bc7966062c45d4806d5f1bf909995c2bf1fc583c72b03fc9be416b,
9F6FF1683514F3497D4E5DB8AC8D97D9,,2019-09-21 02:33:05,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,5000.0,XDC;2379,0.0,,42.93,USD;10,0.0,,63.4226903216,0.0,AUD;15,false,,csv,false,false,,,,,4b7da85ad34ba443e53a89d135f5d8a94ef8009ae603c1211cdd18ad4be8bf6b,
B2A1C58135E53C9AD167E0E5945F0C97,,2021-02-17 11:22:52,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,4.90001,XRP;2,,,0.0,,0.0,,2.6,USD;10,0.0,,3.357171012,0.0,AUD;15,false,csv,,false,false,,,,,cd5a273aa12b0654763609339edc0d652d0b2abbf7708bb74012d702486b3f45,
2D179B0A5DDF1850B5974C40FEBF9A5D,,2020-08-23 09:39:40,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,25.0,XRP;2,0.0,,7.08,USD;10,0.0,,9.8855047709,0.0,AUD;15,false,,csv,false,false,,,,,1d40570cf501791c59abfab2b9ea78e39845581d96e5733e7a0e041d26fd9c2b,
6B727B5FE98D82C43A233928365407E8,,2020-08-23 09:39:40,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,25.00001,XRP;2,,,0.0,,0.0,,7.08,USD;10,0.0,,9.8855047709,0.0,AUD;15,false,csv,,false,false,,,,,1d40570cf501791c59abfab2b9ea78e39845581d96e5733e7a0e041d26fd9c2b,
A4CE954629AE1DA911AAE0A95BE53539,,2020-06-08 00:00:22,withdrawal,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,5.00001,XRP;2,,,0.0,,0.0,,1.01,USD;10,0.0,,1.4449154455,0.0,AUD;15,false,csv,,false,false,,,,,184bb06cc599028019f52d1a78a43e9bc4b39244ea5f60a94a53e64477f8d001,
223FDD4809C2FF0BC2A01BD1B384FBB6,,2020-05-02 02:23:40,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.000122,XRP;2,0.0,,0.0,,0.0,,0.0000416509,0.0,AUD;15,false,,csv,false,false,,,,,ebb530489db4df065d1bf11052d44385b917b6c86f5e0a5a85311eef3b7c9107,
A5762A063B724EEDDD55F1EEFB9C0508,,2020-02-19 04:45:31,deposit,,,,0.0,,Ledger;ledger,56A382D66F8127FB910B2FCF326D5C65,0.000212,XRP;2,0.0,,0.0,,0.0,,0.000093312,0.0,AUD;15,false,,csv,false,false,,,,,affa3415abf46e1e697131f5f16a1547223ba82e5006ca816b231c6f44b5592d,
